"","Player","Salary","GS","value","select"
"1","Jesse Chavez",8500,59,144.067796610169,"1"
"2","Kyle Hendricks",8500,50,170,"0"
"3","Alex Colome",8500,50,170,"0"
"4","Jaime Garcia",8500,50,170,"0"
"5","Odrisamer Despaigne",8500,49,173.469387755102,"0"
"6","Archie Bradley",9300,52,178.846153846154,"0"
"7","Wandy Rodriguez",8500,45,188.888888888889,"0"
"8","R.A. Dickey",8800,46,191.304347826087,"0"
"9","Jerome Williams",8500,42,202.380952380952,"0"
"10","Chris Tillman",9750,47,207.446808510638,"0"
"11","Matt Garza",11350,51,222.549019607843,"0"
"12","Mat Latos",11800,51,231.372549019608,"0"
"13","John Danks",9500,41,231.707317073171,"0"
"14","Julio Teheran",13500,55,245.454545454545,"0"
"15","Scott Feldman",10900,42,259.52380952381,"0"
"16","Matt Shoemaker",13750,52,264.423076923077,"0"
"17","Madison Bumgarner",18100,68,266.176470588235,"0"
"18","Clayton Kershaw",21050,79,266.455696202532,"0"
"19","Clay Buchholz",14000,52,269.230769230769,"0"
"20","Jacob deGrom",16350,59,277.118644067797,"1"
"21","David Price",17300,62,279.032258064516,"0"
"22","Danny Salazar",18600,64,290.625,"0"
